location_longitude,location_latitude
-5.4929032,34.4927851
-5.4945946,34.4829714
-5.4939206,34.483081
-5.4905073,34.5035668
-5.4980269,34.4979091
-5.4557665,34.4874652
-5.4436369,34.4921668
-5.4436144,34.4922461
-5.4847958,34.4966971
-5.4860377,34.4946277
-5.4899102,34.4959223
-5.4969898,34.4854527
-5.4764117,34.4877471
-5.4947591,34.4847736
-5.4558138,34.4883692
-5.5088316,34.4878087
-5.4674647,34.4852402
-5.4674346,34.4852488
-5.4675234,34.4852319
-5.4674672,34.4852303
-5.4674608,34.4852207
-5.4675502,34.4852331
-5.4675992,34.4852443
-5.4556237,34.4882918
-5.4673729,34.4852171
-5.4676608,34.4853321
-5.4964986,34.4806627
-5.508825,34.4877928
-5.5094128,34.4877104
-5.4070336,34.4929285
-5.5125136,34.4920939
-5.4078801,34.4919885
-5.509384,34.4877065
-5.4558022,34.4885212
-5.5093631,34.487692
-5.5093303,34.4876711
-5.4945133,34.4848727
-5.7371703,34.615653
-6.007466,35.0276431
-6.0072019,35.0411325
-5.9051755,34.988352
-6.001096,34.6847839
-6.0016336,34.6937205
-5.9905139,34.6697123
-6.0010683,34.6847868
-6.0010289,34.6848745
-6.0010721,34.684872
-6.0003225,34.6939854
-6.000264,34.6941649
-6.0002652,34.6941397
-6.0002952,34.694116
-6.0003535,34.6941743
-6.0003372,34.6940252
-6.00018,34.6940898
-5.8347682,34.5823125
-6.001677,34.6936076
-6.0002746,34.6939973
-6.0001829,34.694153
-6.0002369,34.6941711
-6.0003257,34.6940773
-6.0002495,34.6942107
-6.001056,34.6847963
-6.0011022,34.6848128
-6.0010892,34.6848036
-6.0010611,34.6848509
-6.0011016,34.6848013
-6.001074,34.6848798
-6.0010829,34.6848096
-6.0010768,34.6847967
-6.0010796,34.6847902
-6.0010687,34.6848592
-6.0010889,34.6847895
-6.0010562,34.6848471
-6.0044639,34.6850187
-6.0044614,34.6850428
-6.0044682,34.6850562
-6.0044888,34.6849868
-5.9923313,34.6749824
-6.0010623,34.6847415
-6.0044524,34.6850769
-6.0044624,34.6850886
-6.0009869,34.6848137
-6.0010124,34.6848507
-6.0010913,34.6848485
-6.0010619,34.6848013
-6.0010622,34.6848153
-6.0088602,35.4204522
-6.1846149,37.2107611
-5.6397632,38.8260899
-5.639819,38.826078
-5.4064557,39.1349808
-5.3739135,39.1428654
-5.3739729,39.1428573
-5.3741971,39.1425842
-5.434296,39.1770423
-4.2009892,39.8618967
-3.5953161,40.3065392
-3.5961126,40.3066474
-1.2796135,41.8433536
-1.2363656,41.8491637
-1.2194389,41.8241375
-1.2365721,41.8490877
0.5410427,41.5563282
0.5189945,41.5410694
0.5190007,41.5410724
3.1092339,42.2845208
3.2116431,43.2300544
4.6727747,43.6186978
4.8389499,43.6191868
4.8634386,45.2931072
5.1815245,46.1220481
5.0998136,46.0995934
5.1009607,46.0969446
5.1008202,46.0968242
5.1013941,46.0961476
5.1008307,46.0969347
5.100232,46.0966738
6.9530412,47.5368027
9.2729126,47.7453408
10.0422214,47.7085763
10.0638379,47.7336307
10.0801091,47.7282286
9.4255121,47.7099159
9.4256274,47.7095007
9.4323789,47.7071382
9.4323928,47.7071624
9.4323906,47.7071722
9.4248527,47.7102976
8.6161793,47.4336263
8.6566569,47.3380942
8.4958165,47.4247766
8.5006627,47.4377048
8.5006517,47.4376125
8.5007156,47.4375724
8.5006769,47.4376889
8.5006869,47.437712
8.5006915,47.4376867
8.5007024,47.437687
8.5006721,47.4376459
8.5006753,47.4377011
8.5006995,47.4376795
8.977661,47.773128
8.9258487,47.7567486
8.9533944,47.7608184
8.8822309,47.8176637
8.8824609,47.8174033
8.8780089,47.8089591
8.8783825,47.8088417
8.8783543,47.8088346
8.8783632,47.8088143
8.8780889,47.8088608
8.8780997,47.8087957
8.8781873,47.8088461
8.8783924,47.8088221
8.8781629,47.8088262
8.8782813,47.8087697
8.878361,47.8088138
8.8780861,47.8087158
8.8775894,47.8100767
8.8780508,47.8087151
8.8780495,47.8087817
8.8780871,47.8087839
8.8780835,47.8087575
8.8780582,47.8088184
8.8780911,47.8087984
8.8781004,47.8088083
8.8781182,47.8087742
8.8780825,47.8088503
8.8763677,47.8171623
8.8732283,47.8116164
8.9074951,47.7352829
8.9074144,47.7352574
8.9074474,47.7352572
8.9074243,47.7352559
8.907452,47.7351494
8.9073989,47.7352657
8.907442,47.7352671
8.90732,47.735144
8.9073732,47.7352843
8.9074381,47.735262
8.9075072,47.7351563
8.9074081,47.7352703
8.9074828,47.7351428
8.9076247,47.7351642
8.9073944,47.7350629
8.9073256,47.7351469
8.9074395,47.7352517
8.907478,47.735145
8.9075367,47.7351559
8.9073739,47.735123
8.907393,47.7352965
9.1323024,47.6719578
8.9074758,47.7352537
8.9073139,47.7351205
8.9073262,47.7351835
8.9073749,47.735126
8.9073076,47.7351627
8.907338,47.7351197
8.873168,47.8116594
8.8731888,47.8116449
8.8732143,47.8117189
8.8732771,47.8117532
8.8732788,47.811752
8.8731594,47.8115888
8.8732564,47.8117367
8.8732397,47.8117851
8.873196,47.8115853
8.8781061,47.8088547
8.878029,47.8088248
8.8732613,47.8117101
8.873305,47.8117473
8.8731532,47.8116126
8.9073676,47.7351251
8.9074115,47.7352633
8.9073856,47.7351728
8.9072903,47.7351195
8.9073882,47.7352677
8.9073796,47.7350944
8.9073866,47.7351069
8.9073549,47.7351057
8.9073442,47.735115
8.9073139,47.7351192
8.9073502,47.7351585
8.9074044,47.7351146
8.9073592,47.735114
8.9073219,47.7351116
8.9073463,47.735105
8.907325,47.7351469
7.8474705,47.5655155
7.8568874,47.5613445
7.8489562,47.565774
7.8488909,47.5658619
7.8481631,47.5656908
5.1188453,46.0554424
4.7077935,44.4379184
3.1874541,43.2436835
2.9621513,43.1065083
2.9617199,43.105854
3.1106096,42.2193756
0.88688,41.6410198
0.5688177,41.5738139
0.6179163,41.6104837
0.6181632,41.6101456
0.6182163,41.6105929
0.4901902,41.5138891
0.4898341,41.5144513
0.6193213,41.6117412
0.6192795,41.6118472
-0.5246652,41.5165919
-2.1267929,40.0523768
-3.2896478,39.4824988
-3.314427,39.5292951
-3.6567881,38.8561416
-3.6567252,38.8560324
-3.6566183,38.8559559
-3.6565304,38.8558871
-3.657141,38.8562362
-3.657029,38.8562042
-3.6570054,38.8560979
-3.6567147,38.8560829
-5.3252344,37.2680904
-6.0405792,37.1068428
-6.1276519,36.5840568
-5.9342223,36.2649866
-5.80569,36.2257265
-5.9946494,34.6865291
-5.9947027,34.6865323
-6.0043524,34.685143
-5.9934715,34.6872661
-6.1902371,34.4974393
-6.1928556,34.5083306
-6.1947754,34.5083484
-6.1936185,34.5079434
-6.0050337,34.545926
-6.2146249,34.4967478
-6.2633748,34.655996
-6.2633148,34.6561083
-6.2795064,34.6792531
-6.2792733,34.6804713
-6.2795968,34.6796164
-6.2796501,34.6792698
-6.2795083,34.6790869
-6.2796615,34.6789577
-6.2461094,34.6601702
-6.2795555,34.6791513
-6.2503873,34.6578241
-6.2492945,34.6625694
-6.2636273,34.4791644
-6.274276,34.6484317
-6.2740108,34.6490633
-6.2459846,34.6594091
-6.250687,34.6588371
-6.2505065,34.6583062
-6.2605071,34.6725615
-6.2566289,34.6737227
-6.260974,34.6747382
-6.2611004,34.6751555
-6.2628017,34.6745049
-6.283613,34.6290398
-5.9929666,34.6795049
-5.9929636,34.6795487
-5.9929647,34.679537
-5.9929423,34.6796176
-5.9929747,34.6795226
-5.9888192,34.6844696
-5.9865723,34.6797494
-5.9887728,34.6845196
-5.9946267,34.6880442
-5.9940645,34.6821753
-5.9947193,34.682148
-5.9947348,34.682139
-5.9947276,34.682148
-5.9946995,34.682142
-6.0010762,34.6848181
-5.9976658,34.6897182
-5.9940902,34.6822361
-5.992965,34.6795404
-5.9947221,34.68213
-5.9940908,34.6821663
-5.9976612,34.6896536
-5.9929875,34.6795618
-6.0044907,34.6850173
-6.0044245,34.6850106
-5.9929452,34.6795696
-5.9929525,34.6795383
-6.0044706,34.6850188
-5.9800879,34.6857981
-5.992962,34.6795501
-5.9888512,34.6639555
-6.030084,34.6732164
-5.9890077,34.6640041
-6.0063836,34.6933709
-5.9457391,35.6408104
-5.778873,35.7574641
-5.7784465,35.7578043
-5.7786174,35.7578004
-5.7789536,35.7576287
-5.777822,35.7584391
-5.778349,35.7579894
-5.7555666,35.744452
-5.7785419,35.7573753
-6.1291358,36.5909997
-6.1292031,36.5939317
-5.9716729,37.077766
-5.875116,37.2235965
-5.8750525,37.2223076
-5.8794969,37.2231365
-5.879173,37.221142
-5.8787588,37.2224403
-5.8762464,37.2240528
-5.876054,37.224313
-5.8760398,37.2243602
-5.8793127,37.2183025
-5.879481,37.2221976
-5.878866,37.2209353
-5.8754642,37.2220533
-5.8799686,37.2201467
-5.9658996,37.1606827
-5.790753,37.3007017
-5.967977,37.1601043
